Nama Connector,Name,COnnector or Not,Gender,Following,Follower,Total Tweet,Pekerjaan,Career_Group
hardipramudia,0,0,M,596,438,3299,,
kirannya,0,0,M,544,833,13894,,
ramot_stephanus,0,0,M,271,281,1786,,
anggriawan,0,0,M,342,3046,21599,,
hushpetersen,0,0,M,247,747,5980,,
dark_midleearth,0,0,M,179,363,17211,,
priyoj,0,0,M,1275,8606,15393,,
e_effendyie,0,0,M,235,8,685,,
intanyusans,0,0,F,837,659,14749,,
featrihanna,0,0,F,236,427,12385,,
rezany,0,0,M,344,253,7143,,
kkusumawardani,0,0,F,511,1312,20870,,
imamrasyidi,0,0,M,420,2624,39662,,
ulanaluis,0,0,F,305,458,30380,,
_ad_it,0,0,M,548,412,12680,,
jowidira,0,0,M,87,284,11601,,
sorayadhamid,0,0,F,696,780,23558,,
sdenta,0,0,M,395,902,15707,,
